ItemNo,Manufacturer Part No,CostPrice,Wimood_Target_Margin,Median_Achieved_Margin_Pct,Competitor_Margin_Pct,CompetitorStatus,SMB01,SMB02,SMB03,SMB04,SMB05,SMB06,SMB07,SMB08,SMB09,SMB10,SMB11,SMB12,SMB13,SMB14,SMB15,SMB16,SMB17,SMB18,SMB19,SMB20,supplierName,LTM Turnover (DKK)
W129012585,UACC-AOC-QSFP28-5M,127.39,,0.0562,,No Competitor Data,0.0562,0.0562,0.0562,0.0562,0.0562,0.0562,0.06,0.0637,0.0675,0.0712,0.075,0.0787,0.0825,0.0862,0.09,0.0937,0.0975,0.1012,0.105,0.1087,No comp data,41094.482101
W126091154,POE-24-24W-WH,8.31,,0.0829,0.0361,Used,0.0361,0.0642,0.0642,0.0642,0.0642,0.0642,0.0679,0.0717,0.0755,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,0.1055,0.1092,0.1129,0.1167,ALLNET Deutschland,24247.000394
W128807440,UACC-G4-DB-PRO-COVER-SILVER,22.16,,0.057,,No Competitor Data,0.057,0.057,0.057,0.057,0.057,0.057,0.0607,0.0645,0.0682,0.072,0.0757,0.0795,0.0832,0.087,0.0907,0.0945,0.0982,0.102,0.1057,0.1095,No comp data,1465.14044
W127222006,AF60-XR,812.36,,0.0639,,No Competitor Data,0.0639,0.0639,0.0639,0.0639,0.0639,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,No comp data,244927.423644
W128920271,UICARE-U6-ENTERPRISE-IW-D,280.05,-0.8236,0.0989,,No Main Competitor,0.025,0.0989,0.0989,0.0989,0.0989,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,0.1214,0.1252,0.1289,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,2982.693337
W128832092,UACC-UK-ULTRA-PANEL-ANTENNA,28.62,0.0692,0.0759,0.0276,Outlier - Excluded,0.0692,0.0759,0.0759,0.0759,0.0759,0.0759,0.0796,0.0834,0.0872,0.0909,0.0946,0.0984,0.1022,0.1059,0.1096,0.1134,0.1172,0.1209,0.1246,0.1284,ALLNET Deutschland,13009.687329
W126203911,U-CABLE-PATCH-1M-RJ45-BL,1.98,0.0202,0.0853,,No Main Competitor,0.025,0.0853,0.0853,0.0853,0.0853,0.0853,0.089,0.0928,0.0965,0.1003,0.104,0.1078,0.1115,0.1153,0.119,0.1228,0.1265,0.13,0.13,0.13,No comp data,63194.076804
W129012593,UACC-CABLE-PATCH-EL-C6A-1M-W,5.17,0.1025,0.0709,,No Main Competitor,0.0684,0.0709,0.0709,0.0709,0.0709,0.0709,0.0746,0.0784,0.0822,0.0859,0.0896,0.0934,0.0972,0.1009,0.1046,0.1084,0.1121,0.1159,0.1196,0.1234,No comp data,90562.914813
W128407394,UACC-RACK-PANEL-VENTED-1U,22.62,0.0522,0.0566,0.1901,Outlier - Excluded,0.0522,0.0566,0.0566,0.0566,0.0566,0.0566,0.0604,0.0641,0.0679,0.0716,0.0754,0.0791,0.0829,0.0866,0.0903,0.0941,0.0979,0.1016,0.1053,0.1091,Wortmann AG,25630.171303
W129252730,UICARE-UVC-G6-PRO-BULLET-W-D,432.94,-0.7942,0.1173,,No Main Competitor,0.025,0.1173,0.1173,0.1173,0.1173,0.1173,0.1189,0.1205,0.1221,0.1236,0.1252,0.1268,0.1284,0.13,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,7193.792812
W125700335,UP-VIEWPORT,158.78,,0.0638,,No Competitor Data,0.0613,0.0638,0.0638,0.0638,0.0638,0.0638,0.0675,0.0713,0.075,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,No comp data,1883753.362462
W128377761,UACC-G4-INS-CABLE-USB-4.5M,15.69,0.0351,0.0774,,No Main Competitor,0.0351,0.0774,0.0774,0.0774,0.0774,0.0774,0.0811,0.0849,0.0887,0.0924,0.0961,0.0999,0.1037,0.1074,0.1111,0.1149,0.1187,0.1224,0.1262,0.1299,No comp data,98652.965926
W128460014,UC-DISPLAY,544.65,0.0159,0.0638,0.0277,Used,0.025,0.0494,0.0494,0.0494,0.0494,0.0494,0.0532,0.0569,0.0607,0.0644,0.0682,0.0719,0.0757,0.0794,0.0832,0.0869,0.0907,0.0944,0.0982,0.1019,ALLNET Deutschland,153524.951305
LBE-5AC-GEN2,LBE-5AC-GEN2,45.23,0.0303,0.0638,,No Main Competitor,0.0303,0.0638,0.0638,0.0638,0.0638,0.0638,0.0675,0.0713,0.075,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,No comp data,372748.955614
W128863997,UICARE-UDW-EU-D,929.13,-0.8226,,,No Main Competitor,0.025,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,2259.5132
W128792506,USW-ULTRA,73.85,0.0305,0.0606,0.0827,Used,0.0305,0.0694,0.0694,0.0694,0.0694,0.0694,0.0732,0.0769,0.0807,0.0844,0.0882,0.0919,0.0957,0.0994,0.1032,0.1069,0.1107,0.1144,0.1182,0.1219,Wortmann AG,993461.246955
W129252724,UICARE-UNVR-INSTANT-EU-D,179.94,-0.8199,0.0691,,No Main Competitor,0.025,0.0691,0.0691,0.0691,0.0691,0.0691,0.0728,0.0766,0.0804,0.0841,0.0878,0.0916,0.0954,0.0991,0.1028,0.1066,0.1104,0.1141,0.1178,0.1216,No comp data,1440.04248
W125876667,UA-CARD,29.54,,0.0651,,No Competitor Data,0.0626,0.0651,0.0651,0.0651,0.0651,0.0651,0.0688,0.0726,0.0764,0.0801,0.0838,0.0876,0.0914,0.0951,0.0988,0.1026,0.1064,0.1101,0.1138,0.1176,No comp data,15887.344518
INS-3AF-I-G,INS-3AF-I-G,13.85,0.0144,0.0812,0.0354,Used,0.025,0.0629,0.0629,0.0629,0.0629,0.0629,0.0667,0.0704,0.0741,0.0779,0.0816,0.0854,0.0891,0.0929,0.0966,0.1004,0.1041,0.1079,0.1116,0.1154,ALLNET Deutschland,264426.984917
W129111975,UACC-CABLE-EXTENDER-C6A,13.85,0.1047,0.0576,0.0614,Used,0.0576,0.0591,0.0591,0.0591,0.0591,0.0591,0.0629,0.0666,0.0703,0.0741,0.0779,0.0816,0.0853,0.0891,0.0929,0.0966,0.1003,0.1041,0.1079,0.1116,ALLNET Deutschland,12733.492214
W129089666,UDB-PRO-SECTOR,150.47,0.0168,0.076,0.0277,Outlier - Excluded,0.025,0.076,0.076,0.076,0.076,0.076,0.0798,0.0835,0.0872,0.091,0.0948,0.0985,0.1022,0.106,0.1098,0.1135,0.1172,0.121,0.1247,0.1285,ALLNET Deutschland,115102.249907
W126909960,UA-RESCUE,59.08,0.0393,0.0526,0.0278,Used,0.0278,0.0427,0.0427,0.0427,0.0427,0.0427,0.0464,0.0502,0.0539,0.0577,0.0614,0.0652,0.0689,0.0727,0.0764,0.0802,0.0839,0.0877,0.0914,0.0952,ALLNET Deutschland,39367.816913
W128854540,UACC-G5-DOME-ULTRA-FM-W,28.62,0.1391,0.0531,0.0356,Used,0.0356,0.0461,0.0461,0.0461,0.0461,0.0461,0.0499,0.0536,0.0574,0.0611,0.0649,0.0686,0.0723,0.0761,0.0799,0.0836,0.0873,0.0911,0.0948,0.0986,ALLNET Deutschland,60731.549246
NBE-2AC-13,NBE-2AC-13,67.39,,0.0881,,No Competitor Data,0.0881,0.0881,0.0881,0.0881,0.0881,0.0881,0.0919,0.0956,0.0994,0.1031,0.1069,0.1106,0.1144,0.1181,0.1218,0.1256,0.1293,0.13,0.13,0.13,No comp data,100143.222012
W129125995,UVC-G6-BULLET-B,150.26,0.0602,0.1173,0.1182,Used,0.0602,0.1177,0.1177,0.1177,0.1177,0.1177,0.1192,0.1208,0.1223,0.1239,0.1254,0.1269,0.1285,0.13,0.13,0.13,0.13,0.13,0.13,0.13,Wortmann AG,266667.281482
W128920244,UICARE-UVC-AI-PRO-D,444.52,-0.8333,0.0755,,No Main Competitor,0.025,0.0755,0.0755,0.0755,0.0755,0.0755,0.0793,0.083,0.0868,0.0905,0.0943,0.098,0.1018,0.1055,0.1093,0.113,0.1168,0.1205,0.1243,0.128,No comp data,7488.962006
W128884744,UACC-PRO-MAX-16-RM,36.0,0.0444,0.0526,,No Main Competitor,0.0444,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,No comp data,413276.140868
W129042611,UACC-OFC-S2-LULU-3M-50,198.47,,0.0591,,No Competitor Data,0.0591,0.0591,0.0591,0.0591,0.0591,0.0591,0.0629,0.0666,0.0703,0.0741,0.0779,0.0816,0.0853,0.0891,0.0929,0.0966,0.1003,0.1041,0.1079,0.1116,No comp data,7901.539278
W128863983,UICARE-UDM-PRO-EU-D,346.13,-0.8215,0.0811,,No Main Competitor,0.025,0.0811,0.0811,0.0811,0.0811,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1074,0.1111,0.1148,0.1186,0.1224,0.1261,0.1298,0.13,No comp data,82459.796142
W129265037,UACC-FM-23CM,28.62,,0.0815,,No Competitor Data,0.0815,0.0815,0.0815,0.0815,0.0815,0.0815,0.0853,0.089,0.0927,0.0965,0.1003,0.104,0.1077,0.1115,0.1153,0.119,0.1227,0.1265,0.13,0.13,No comp data,5490.916595
W128807445,UISP-BOX-PLUS,78.47,,0.045,,No Competitor Data,0.045,0.045,0.045,0.045,0.045,0.045,0.0488,0.0525,0.0563,0.06,0.0638,0.0675,0.0712,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,No comp data,8703.316064
W129016386,UACC-OM-MM-10G-D,14.77,0.0162,0.0752,,No Main Competitor,0.025,0.0752,0.0752,0.0752,0.0752,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,0.1202,0.1239,0.1277,No comp data,199129.788443
W126928427,UACC-CABLE-C5E-OUTDOOR-PRO-305M-W,124.62,0.125,0.0527,0.0616,Used,0.0527,0.0562,0.0562,0.0562,0.0562,0.0562,0.06,0.0637,0.0675,0.0712,0.075,0.0787,0.0825,0.0862,0.09,0.0937,0.0975,0.1012,0.105,0.1087,ALLNET Deutschland,63506.779415
W129125991,UP-AI-HORN-SPEAKER-W,218.78,0.0165,0.0527,,No Main Competitor,0.025,0.0527,0.0527,0.0527,0.0527,0.0527,0.0564,0.0602,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,No comp data,164353.041574
W126887969,UACC-DAC-SFP28-3M,28.62,0.0447,0.0636,0.0615,Used,0.0447,0.0628,0.0628,0.0628,0.0628,0.0628,0.0665,0.0703,0.0741,0.0778,0.0816,0.0853,0.0891,0.0928,0.0966,0.1003,0.1041,0.1078,0.1116,0.1153,ALLNET Deutschland,190736.354139
W128888583,UACC-READER-PRO-AM-B,22.16,0.1823,0.0639,,No Main Competitor,0.0614,0.0639,0.0639,0.0639,0.0639,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,No comp data,25172.924759
W128891451,UACC-CABLE-PATCH-EL-0.3M-W,3.69,,0.0722,0.0623,Used,0.0623,0.0683,0.0683,0.0683,0.0683,0.0683,0.0721,0.0758,0.0795,0.0833,0.0871,0.0908,0.0945,0.0983,0.1021,0.1058,0.1095,0.1133,0.1171,0.1208,ALLNET Deutschland,252384.477129
W128301711,UVC-AI-THETA,230.78,0.0785,0.0768,0.0359,Used,0.0359,0.0605,0.0605,0.0605,0.0605,0.0605,0.0643,0.068,0.0718,0.0755,0.0793,0.083,0.0868,0.0905,0.0943,0.098,0.1018,0.1055,0.1093,0.113,ALLNET Deutschland,306300.70116
UF-SPLITTER-8,UF-SPLITTER-8,9.69,,0.0788,,No Competitor Data,0.0763,0.0788,0.0788,0.0788,0.0788,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,0.12,0.1238,0.1275,0.13,No comp data,2015.454238
W129000893,UA-HUB-GATE,203.09,0.0646,0.0561,0.0277,Used,0.0277,0.0447,0.0447,0.0447,0.0447,0.0447,0.0485,0.0522,0.0559,0.0597,0.0634,0.0672,0.0709,0.0747,0.0784,0.0822,0.0859,0.0897,0.0934,0.0972,ALLNET Deutschland,537560.145576
W129292691,U7-PRO-XG-WALL,205.86,0.0463,0.1264,0.1132,Used,0.0463,0.1211,0.1211,0.1211,0.1211,0.1211,0.1222,0.1233,0.1244,0.1255,0.1267,0.1278,0.1289,0.13,0.13,0.13,0.13,0.13,0.13,0.13,Wortmann AG,19776.104877
W128863987,UICARE-USW-PRO-48-EU-D,515.35,-0.8401,0.0527,,No Main Competitor,0.025,0.0527,0.0527,0.0527,0.0527,0.0527,0.0564,0.0602,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,No comp data,10928.972878
AF-5,AF-5,738.51,0.0624,,,No Main Competitor,0.0624,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,6151.065975
W128891456,UACC-CABLE-PATCH-EL-5M-W,8.12,0.1022,0.054,0.2201,Outlier - Excluded,0.0515,0.054,0.054,0.054,0.054,0.054,0.0578,0.0615,0.0653,0.069,0.0728,0.0765,0.0803,0.084,0.0878,0.0915,0.0953,0.099,0.1028,0.1065,Wortmann AG,49722.346104
W128807439,UACC-G4-DB-PRO-COVER-WHITE,22.16,,0.0735,,No Competitor Data,0.0735,0.0735,0.0735,0.0735,0.0735,0.0735,0.0772,0.081,0.0847,0.0885,0.0922,0.096,0.0997,0.1035,0.1072,0.111,0.1147,0.1185,0.1222,0.126,No comp data,3993.652307
W128911428,UCG-MAX,209.51,0.0286,0.0566,0.0415,Used,0.0286,0.0505,0.0505,0.0505,0.0505,0.0505,0.0542,0.058,0.0618,0.0655,0.0693,0.073,0.0768,0.0805,0.0843,0.088,0.0918,0.0955,0.0993,0.103,ALLNET Deutschland,5585703.446339
W127110659,UVC-G4-INS,83.08,0.0448,0.0527,0.0359,Used,0.0359,0.046,0.046,0.046,0.046,0.046,0.0497,0.0535,0.0572,0.061,0.0648,0.0685,0.0722,0.076,0.0798,0.0835,0.0872,0.091,0.0948,0.0985,ALLNET Deutschland,1614407.498777
W128920256,UICARE-U7-PRO-MAX-D,242.46,-0.8301,0.1494,,No Main Competitor,0.025,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,168158.853756
W129018983,UACC-POE+-2.5G,13.85,0.0491,0.064,0.2211,Outlier - Excluded,0.0491,0.064,0.064,0.064,0.064,0.064,0.0678,0.0715,0.0752,0.079,0.0828,0.0865,0.0902,0.094,0.0978,0.1015,0.1053,0.109,0.1128,0.1165,Wortmann AG,347407.937226
W129042609,UACC-OFC-S2-LULU-0.5M-50,129.24,,0.1043,,No Competitor Data,0.1018,0.1043,0.1043,0.1043,0.1043,0.1043,0.1075,0.1107,0.1139,0.1172,0.1204,0.1236,0.1268,0.13,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,12522.483736
W129018990,UVC-AI-LPR-B,369.66,0.0263,0.0526,0.0477,Used,0.0263,0.0507,0.0507,0.0507,0.0507,0.0507,0.0545,0.0582,0.062,0.0657,0.0694,0.0732,0.077,0.0807,0.0844,0.0882,0.092,0.0957,0.0994,0.1032,ALLNET Deutschland,605099.087868
W128920262,UICARE-U7-PRO-WALL-D,174.4,-0.8114,0.0792,,No Main Competitor,0.025,0.0792,0.0792,0.0792,0.0792,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,0.1055,0.1092,0.1129,0.1167,0.1205,0.1242,0.128,0.13,No comp data,211853.088513
AF-5G34-S45,AF-5G34-S45,221.55,,0.0989,,No Competitor Data,0.0964,0.0989,0.0989,0.0989,0.0989,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,0.1214,0.1252,0.1289,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,88199.068484
W128920237,UICARE-UNVR-EU-D,272.66,-0.8188,0.0527,,No Main Competitor,0.025,0.0527,0.0527,0.0527,0.0527,0.0527,0.0564,0.0602,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,No comp data,11702.404306
W129042604,UICARE-USW-PRO-HD-24-POE-EU-D,882.98,-0.8134,0.0457,,No Main Competitor,0.025,0.0457,0.0457,0.0457,0.0457,0.0457,0.0495,0.0532,0.057,0.0607,0.0645,0.0682,0.072,0.0757,0.0795,0.0832,0.0869,0.0907,0.0945,0.0982,No comp data,64348.062847
EP-54V-72W,EP-54V-72W,120.01,,0.0639,,No Competitor Data,0.0639,0.0639,0.0639,0.0639,0.0639,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,No comp data,21629.432859
W128864000,UICARE-USW-ENTERPRISE-48-POE-EU-D,1369.69,-0.8195,0.0811,,No Main Competitor,0.025,0.0811,0.0811,0.0811,0.0811,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1074,0.1111,0.1148,0.1186,0.1224,0.1261,0.1298,0.13,No comp data,83783.349098
W128863990,UICARE-USW-PRO-MAX-48-EU-D,567.46,-0.8259,0.0526,,No Main Competitor,0.025,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,No comp data,158265.894669
W128986535,UACC-DAC-QSFP28-0.5M,26.77,0.0945,0.0717,0.0616,Used,0.0616,0.0677,0.0677,0.0677,0.0677,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,0.1202,ALLNET Deutschland,47793.280292
W129012192,UA-G3-PRO-W,263.84,0.0275,0.077,0.0248,Outlier - Excluded,0.0275,0.077,0.077,0.077,0.077,0.077,0.0807,0.0845,0.0882,0.092,0.0957,0.0995,0.1032,0.107,0.1107,0.1145,0.1182,0.122,0.1258,0.1295,ALLNET Deutschland,366680.609687
LOCO5AC-5,LOCO5AC-5,166.16,0.0141,0.0989,,No Main Competitor,0.025,0.0989,0.0989,0.0989,0.0989,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,0.1214,0.1252,0.1289,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,181084.185838
W129047255,UICARE-UXG-FIBER-EU-D,252.36,-0.8042,0.0696,,No Main Competitor,0.025,0.0696,0.0696,0.0696,0.0696,0.0696,0.0733,0.0771,0.0809,0.0846,0.0884,0.0921,0.0959,0.0996,0.1034,0.1071,0.1109,0.1146,0.1184,0.1221,No comp data,11218.45784
W129112011,UACC-RJ45-COUPLER-C6A-OUTDOOR,13.85,0.1256,0.0757,0.0614,Used,0.0614,0.07,0.07,0.07,0.07,0.07,0.0737,0.0775,0.0813,0.085,0.0887,0.0925,0.0963,0.1,0.1037,0.1075,0.1113,0.115,0.1187,0.1225,ALLNET Deutschland,17962.824338
FC-SM-300,FC-SM-300,91.39,0.0275,0.0649,,No Main Competitor,0.0275,0.0649,0.0649,0.0649,0.0649,0.0649,0.0687,0.0724,0.0761,0.0799,0.0837,0.0874,0.0912,0.0949,0.0987,0.1024,0.1062,0.1099,0.1137,0.1174,No comp data,36367.106826
W127043312,UACC-CABLE-PATCH-OUTDOOR-5M-BK,6.09,0.092,0.085,,No Main Competitor,0.085,0.085,0.085,0.085,0.085,0.085,0.0887,0.0925,0.0963,0.1,0.1037,0.1075,0.1113,0.115,0.1187,0.1225,0.1263,0.13,0.13,0.13,No comp data,9562.627151
W128955380,UVC-G5-TURRET-ULTRA-B,64.39,0.0638,0.077,0.0247,Outlier - Excluded,0.0638,0.077,0.077,0.077,0.077,0.077,0.0807,0.0845,0.0882,0.092,0.0957,0.0995,0.1032,0.107,0.1107,0.1145,0.1182,0.122,0.1258,0.1295,ALLNET Deutschland,1890054.878548
W129012587,UACC-AOC-QSFP28-20M,147.7,,0.0784,,No Competitor Data,0.0759,0.0784,0.0784,0.0784,0.0784,0.0784,0.0822,0.0859,0.0896,0.0934,0.0972,0.1009,0.1046,0.1084,0.1121,0.1159,0.1196,0.1234,0.1271,0.13,No comp data,9702.949847
RPS-AC-100W,RPS-AC-100W,48.0,0.2083,0.0318,,No Main Competitor,0.0318,0.035,0.035,0.035,0.035,0.035,0.0387,0.0425,0.0462,0.05,0.0537,0.0575,0.0612,0.065,0.0688,0.0725,0.0762,0.08,0.0838,0.0875,No comp data,1633.9147
W126203913,U-CABLE-PATCH-2M-RJ45-BK,2.58,0.062,0.0828,,No Main Competitor,0.062,0.0828,0.0828,0.0828,0.0828,0.0828,0.0865,0.0903,0.094,0.0978,0.1015,0.1053,0.109,0.1128,0.1165,0.1203,0.124,0.1278,0.13,0.13,No comp data,56758.193654
W128792056,UX-EU,94.98,,0.0811,,No Competitor Data,0.0786,0.0811,0.0811,0.0811,0.0811,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1074,0.1111,0.1148,0.1186,0.1224,0.1261,0.1298,0.13,No comp data,999166.662463
W126091161,USW-FLEX-3,207.71,0.0211,0.0682,,No Main Competitor,0.025,0.0682,0.0682,0.0682,0.0682,0.0682,0.072,0.0757,0.0795,0.0832,0.0869,0.0907,0.0945,0.0982,0.1019,0.1057,0.1095,0.1132,0.1169,0.1207,No comp data,345195.539932
W128854538,UACC-AI-360-JB,36.93,0.0588,0.053,,No Main Competitor,0.053,0.053,0.053,0.053,0.053,0.053,0.0567,0.0605,0.0643,0.068,0.0718,0.0755,0.0793,0.083,0.0868,0.0905,0.0943,0.098,0.1018,0.1055,No comp data,34070.117328
RD-5G30-LW,RD-5G30-LW,132.93,0.2924,0.0935,,No Main Competitor,0.0935,0.0935,0.0935,0.0935,0.0935,0.0935,0.0973,0.101,0.1047,0.1085,0.1123,0.116,0.1197,0.1235,0.1273,0.13,0.13,0.13,0.13,0.13,No comp data,19754.079703
W129234936,USL-ENVIRONMENTAL,36.68,0.0578,0.081,,No Main Competitor,0.0578,0.081,0.081,0.081,0.081,0.081,0.0847,0.0885,0.0922,0.096,0.0997,0.1035,0.1072,0.111,0.1147,0.1185,0.1222,0.126,0.1298,0.13,No comp data,78035.928784
W126209035,UVC-G4-DOORBELL-PS,21.23,0.1729,0.0531,0.2021,Outlier - Excluded,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0568,0.0606,0.0643,0.0681,0.0718,0.0756,0.0793,0.0831,0.0868,0.0906,0.0943,0.0981,0.1018,0.1056,Wortmann AG,7374.797254
W128791907,UACC-AI-THETA-ANGLE MOUNT-CAMERA,22.16,,0.053,,No Competitor Data,0.0505,0.053,0.053,0.053,0.053,0.053,0.0567,0.0605,0.0643,0.068,0.0718,0.0755,0.0793,0.083,0.0868,0.0905,0.0943,0.098,0.1018,0.1055,No comp data,6912.447746
W126163890,U-CABLE-PATCH-0.3M-RJ45-BK,1.71,0.0702,0.0812,,No Main Competitor,0.0702,0.0812,0.0812,0.0812,0.0812,0.0812,0.0849,0.0887,0.0924,0.0962,0.0999,0.1037,0.1074,0.1112,0.1149,0.1187,0.1224,0.1262,0.1299,0.13,No comp data,87618.439437
W128792504,UK-ULTRA,58.66,0.0416,0.0639,0.0511,Used,0.0416,0.0588,0.0588,0.0588,0.0588,0.0588,0.0625,0.0663,0.07,0.0738,0.0775,0.0813,0.085,0.0888,0.0925,0.0963,0.1,0.1038,0.1075,0.1113,ALLNET Deutschland,2228147.930421
W129016382,UT-G3-HANDSET,72.93,0.0106,0.0533,,No Main Competitor,0.025,0.0533,0.0533,0.0533,0.0533,0.0533,0.0571,0.0608,0.0645,0.0683,0.0721,0.0758,0.0795,0.0833,0.0871,0.0908,0.0945,0.0983,0.1021,0.1058,No comp data,39621.531415
W128955386,UICARE-ENVR-EU-D,284.3,0.1593,0.0652,,No Main Competitor,0.0652,0.0652,0.0652,0.0652,0.0652,0.0652,0.0689,0.0727,0.0764,0.0802,0.0839,0.0877,0.0914,0.0952,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,No comp data,19975.60366
W129147768,USW-PRO-XG-24,812.36,0.0338,0.0526,0.0277,Used,0.0277,0.0427,0.0427,0.0427,0.0427,0.0427,0.0464,0.0502,0.0539,0.0577,0.0614,0.0652,0.0689,0.0727,0.0764,0.0802,0.0839,0.0877,0.0914,0.0952,ALLNET Deutschland,161672.083896
W128609936,WAVE-PRO,456.03,0.0258,0.0686,0.0277,Used,0.0258,0.0522,0.0522,0.0522,0.0522,0.0522,0.0559,0.0597,0.0634,0.0672,0.0709,0.0747,0.0784,0.0822,0.0859,0.0897,0.0934,0.0972,0.1009,0.1047,ALLNET Deutschland,687407.814745
U-POE-AF,U-POE-AF,5.54,,0.1262,0.102,Used,0.102,0.1165,0.1165,0.1165,0.1165,0.1165,0.1182,0.1199,0.1216,0.1232,0.1249,0.1266,0.1283,0.13,0.13,0.13,0.13,0.13,0.13,0.13,Wortmann AG,10047.236909
W128920263,UICARE-UCG-MAX-EU-D,252.36,-0.8042,0.0834,,No Main Competitor,0.025,0.0834,0.0834,0.0834,0.0834,0.0834,0.0872,0.0909,0.0946,0.0984,0.1022,0.1059,0.1096,0.1134,0.1172,0.1209,0.1246,0.1284,0.13,0.13,No comp data,25313.778038
W129247935,UPS-2U,217.86,0.0805,0.0526,,No Main Competitor,0.0501,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,No comp data,178726.652585
W126887964,UF-TERMINAL-BOX,22.16,,0.0813,,No Competitor Data,0.0813,0.0813,0.0813,0.0813,0.0813,0.0813,0.0851,0.0888,0.0926,0.0963,0.1001,0.1038,0.1076,0.1113,0.1151,0.1188,0.1226,0.1263,0.13,0.13,No comp data,6179.283919
W128377759,UVC-AI-DSLR,1246.24,0.0857,0.1494,,No Main Competitor,0.0857,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,20704.511146
W129050740,UVC-AI-DOME-B,295.4,0.0169,0.0929,0.0359,Outlier - Excluded,0.025,0.0929,0.0929,0.0929,0.0929,0.0929,0.0966,0.1004,0.1041,0.1079,0.1116,0.1154,0.1191,0.1229,0.1266,0.13,0.13,0.13,0.13,0.13,ALLNET Deutschland,394438.417474
W127146821,UP-SENSE-3,124.62,0.0432,0.0605,,No Main Competitor,0.0432,0.0605,0.0605,0.0605,0.0605,0.0605,0.0643,0.068,0.0718,0.0755,0.0793,0.083,0.0868,0.0905,0.0943,0.098,0.1018,0.1055,0.1093,0.113,No comp data,351475.499271
W127041828,UACC-AOC-SFP10-10M,33.23,0.1315,0.0581,0.0617,Used,0.0581,0.0595,0.0595,0.0595,0.0595,0.0595,0.0633,0.067,0.0707,0.0745,0.0782,0.082,0.0857,0.0895,0.0932,0.097,0.1007,0.1045,0.1082,0.112,ALLNET Deutschland,54808.315374
